GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC02_VC03,HC03_VC03,HC04_VC03,HC01_VC05,HC02_VC05,HC03_VC05,HC04_VC05,HC01_VC35,HC02_VC35,HC03_VC35,HC04_VC35,HC01_VC38,HC02_VC38,HC03_VC38,HC04_VC38,HC01_VC41,HC02_VC41,HC03_VC41,HC04_VC41,HC01_VC44,HC02_VC44,HC03_VC44,HC04_VC44,HC01_VC53,HC02_VC53,HC03_VC53,HC04_VC53,HC01_VC92,HC02_VC92,HC03_VC92,HC04_VC92,HC01_VC93,HC02_VC93,HC03_VC93,HC04_VC93,HC01_VC94,HC02_VC94,HC03_VC94,HC04_VC94,HC01_VC98,HC02_VC98,HC03_VC98,HC04_VC98,HC01_VC99,HC02_VC99,HC03_VC99,HC04_VC99,HC01_VC100,HC02_VC100,HC03_VC100,HC04_VC100,HC01_VC101,HC02_VC101,HC03_VC101,HC04_VC101,HC01_VC102,HC02_VC102,HC03_VC102,HC04_VC102,HC01_VC103,HC02_VC103,HC03_VC103,HC04_VC103,HC01_VC104,HC02_VC104,HC03_VC104,HC04_VC104
0500000US48059,48059,"Callahan County, Texas",13660,*****,13660,(X),7010,90,51.3,0.7,10392,83,10392,(X),95.4,1.7,(X),(X),2662,51,2662,(X),87.5,3.4,(X),(X),13308,104,97.4,0.8,13660,*****,13660,(X),1249,*****,9.1,*****,1134,89,8.3,0.7,12411,*****,90.9,*****,11862,21,86.8,0.3,201,111,1.5,0.8,8,12,0.1,0.1,33,28,0.2,0.2,0,21,0.0,0.3,0,21,0.0,0.3
0500000US48061,48061,"Cameron County, Texas",420201,*****,420201,(X),216544,161,51.5,0.1,288225,20,288225,(X),89.8,0.1,(X),(X),52630,91,52630,(X),79.4,0.4,(X),(X),416527,901,99.1,0.2,420201,*****,420201,(X),375256,*****,89.3,*****,362538,1386,86.3,0.3,44945,*****,10.7,*****,39240,131,9.3,0.1,1560,159,0.4,0.1,514,102,0.1,0.1,2706,189,0.6,0.1,19,32,0.0,0.1,150,123,0.0,0.1
0500000US48063,48063,"Camp County, Texas",12670,*****,12670,(X),6455,100,50.9,0.8,9310,9,9310,(X),91.5,1.4,(X),(X),2254,52,2254,(X),92.0,5.2,(X),(X),12407,150,97.9,1.2,12670,*****,12670,(X),3034,*****,23.9,*****,2962,61,23.4,0.5,9636,*****,76.1,*****,7168,21,56.6,0.3,2140,143,16.9,1.1,49,25,0.4,0.2,40,63,0.3,0.5,0,21,0.0,0.3,0,21,0.0,0.3
0500000US48065,48065,"Carson County, Texas",6033,*****,6033,(X),3145,60,52.1,1.0,4513,10,4513,(X),93.3,4.0,(X),(X),1047,38,1047,(X),88.3,6.0,(X),(X),5882,80,97.5,1.3,6033,*****,6033,(X),586,*****,9.7,*****,428,104,7.1,1.7,5447,*****,90.3,*****,5215,19,86.4,0.7,39,34,0.6,0.6,23,22,0.4,0.4,32,27,0.5,0.4,13,16,0.2,0.3,0,19,0.0,0.7
0500000US48067,48067,"Cass County, Texas",30118,*****,30118,(X),15519,168,51.5,0.6,23249,58,23249,(X),90.3,1.3,(X),(X),6338,54,6338,(X),80.8,1.4,(X),(X),29550,172,98.1,0.6,30118,*****,30118,(X),1306,*****,4.3,*****,1209,73,4.0,0.2,28812,*****,95.7,*****,23015,28,76.4,0.1,5106,165,17.0,0.5,4,8,0.0,0.1,128,59,0.4,0.2,14,21,0.0,0.1,2,6,0.0,0.1
0500000US48069,48069,"Castro County, Texas",7891,*****,7891,(X),3933,48,49.8,0.6,5547,*****,5547,(X),102.7,0.8,(X),(X),1142,13,1142,(X),90.7,2.3,(X),(X),7742,66,98.1,0.8,7891,*****,7891,(X),5039,*****,63.9,*****,4858,131,61.6,1.7,2852,*****,36.1,*****,2595,9,32.9,0.1,54,43,0.7,0.6,6,7,0.1,0.1,93,56,1.2,0.7,2,3,0.0,0.1,10,14,0.1,0.2
0500000US48071,48071,"Chambers County, Texas",39283,*****,39283,(X),19604,157,49.9,0.4,28290,24,28290,(X),100.3,0.8,(X),(X),4193,94,4193,(X),87.4,4.2,(X),(X),38786,201,98.7,0.5,39283,*****,39283,(X),8396,*****,21.4,*****,7594,465,19.3,1.2,30887,*****,78.6,*****,26720,28,68.0,0.1,3154,182,8.0,0.5,42,47,0.1,0.1,506,50,1.3,0.1,0,28,0.0,0.1,0,28,0.0,0.1
0500000US48073,48073,"Cherokee County, Texas",51594,*****,51594,(X),25287,122,49.0,0.2,38433,58,38433,(X),103.3,1.3,(X),(X),8657,72,8657,(X),85.5,2.1,(X),(X),50333,459,97.6,0.9,51594,*****,51594,(X),11605,*****,22.5,*****,11218,177,21.7,0.3,39989,*****,77.5,*****,31603,15,61.3,0.1,6991,243,13.6,0.5,264,91,0.5,0.2,302,31,0.6,0.1,0,31,0.0,0.1,12,19,0.0,0.1
0500000US48075,48075,"Childress County, Texas",7064,*****,7064,(X),3131,213,44.3,3.0,5640,147,5640,(X),144.9,17.6,(X),(X),1072,149,1072,(X),59.5,20.7,(X),(X),6952,86,98.4,1.2,7064,*****,7064,(X),1536,268,21.7,3.8,1354,246,19.2,3.5,5528,268,78.3,3.8,4525,306,64.1,4.3,512,165,7.2,2.3,68,51,1.0,0.7,102,84,1.4,1.2,242,275,3.4,3.9,0,19,0.0,0.6
0500000US48077,48077,"Clay County, Texas",10369,*****,10369,(X),5185,49,50.0,0.5,8167,*****,8167,(X),97.7,1.9,(X),(X),2214,47,2214,(X),93.2,5.3,(X),(X),10144,55,97.8,0.5,10369,*****,10369,(X),587,*****,5.7,*****,546,39,5.3,0.4,9782,*****,94.3,*****,9370,17,90.4,0.2,56,40,0.5,0.4,126,50,1.2,0.5,29,25,0.3,0.2,0,21,0.0,0.4,0,21,0.0,0.4
