"","fip","cnty","lmi_burdenx100","pcnt_hisp_ucb","pcnt_blk_ucb","pcnt_rural_chr","pcnt_sr_ucb","pcnt_college_chr","pcnt_unemp_bls","pcnt_pov_usda","pcnt_income_saipe","pcnt_own_ucb","pcnt_lw_access_usda","pcnt_obese_usda","pcnt_food_insec_chr","pcnt_uninsured_chr","house_str_age"
"122",48243,"Jeff Davis",6,36.2,0.7,100,31.21645796,35,3.1,13.3,65.1017822451221,80.3376365,29.42925018,26.2,10,30,52
"123",48245,"Jefferson",10,19.5,33.7,8.4,13.6852153,53,7.1,16.9,80.8379086071459,61.8815146,23.14283633,33.2,24,24,43
"124",48247,"Jim Hogg",13,93.8,0,17.4,18.60509312,50,7.4,23.2,54.5975166821522,75.9294266,26.71617128,27.3,7,26,42
"125",48249,"Jim Wells",15,80.2,0.5,40.1,14.2988528,44,7.6,22.1,68.7237097727849,69.3918026,18.66295363,28.5,10,24,31
"126",48251,"Johnson",5,20.3,2.8,37.9,13.47979997,53,4,11.4,104.422670833685,73.8835704,22.19841179,30.2,15,21,51
"127",48253,"Jones",10,27.2,14.5,85.1,14.65771947,34,5.5,21.4,74.5535940535518,73.8598048,21.4049251,27.4,17,23,42
"128",48255,"Karnes",11,52.9,8.7,38.4,14.28476513,37,3.6,20,82.2839766872202,74.3667209,24.49599184,29.2,14,18,45
"129",48257,"Kaufman",8,19.9,10.4,48.8,11.76644725,58,3.8,13.1,111.397922121801,77.1389459,8.384683679,27.2,16,22,28
"130",48259,"Kendall",4,23,0.7,58.2,18.55555004,71,3.3,8,151.426640763578,72.858082,12.91574586,27.3,12,16,41
"131",48261,"Kenedy",9,88.5,0,100,14.71631206,18,2.8,16.5,64.2469803192837,28.2894737,97.16565876,26.4,13,25,31
"132",48263,"Kent",9,21.6,0.7,100,27.94117647,81,2.4,11.3,76.5774136329082,73.4545455,97.19525905,26.4,15,22,47
"133",48265,"Kerr",6,26.1,1.4,41.1,26.67402139,54,3.5,14.3,84.0408818312357,71.234208,29.91456265,26.7,15,24,45
"134",48267,"Kimble",9,23.7,0,44.3,30.05415162,50,3.7,20,69.3994425204831,75.1159196,25.02396684,28.4,16,26,33
"135",48269,"King",6,26.6,0,100,7.266435986,46,4,11,95.187093504519,19.8019802,99.99999961,27.5,16,24,42
"136",48271,"Kinney",10,61.8,0.1,20.5,17.59845773,46,5,20.6,72.0500042233297,77.3333333,4.304453596,26.7,10,24,62
"137",48273,"Kleberg",15,72.3,3.5,18.9,12.73937857,63,6.5,24.3,69.6967649294704,53.0023727,30.52671811,28,12,26,40
"138",48275,"Knox",12,33.4,6,100,18.38529177,55,4.4,19.2,63.7705887321564,80.6686047,47.13617241,26.6,14,27,53
"139",48277,"Lamar",13,7.5,12.3,47.1,18.40448574,53,3.5,18.8,79.7567362108286,64.3070474,29.35392279,32.7,22,23,51
"140",48279,"Lamb",9,55,3.6,57.7,15.96349491,50,4.2,21.8,69.4298504941296,70.960334,3.563505174,31,13,30,25
"141",48281,"Lampasas",9,19.2,3,68.3,17.73555414,59,5.6,13.9,94.1954556972717,74.3159525,20.4022948,28.2,16,22,54
"142",48283,"La Salle",12,79.9,1.2,46.4,15.6511189,28,3.7,27.9,70.1376805473435,70.2974628,57.8089977,26.6,5,21,39
"143",48285,"Lavaca",7,18.1,6.6,81.3,22.47343774,53,3.6,12.2,86.4785877185573,75.4945341,14.26071881,32,15,19,49
"144",48287,"Lee",8,23.2,11,69.7,17.29376855,49,3.3,12.4,91.5009713658248,77.4599542,6.343720376,28.1,16,21,65
"145",48289,"Leon",8,14.2,7.2,100,23.45278793,42,6.5,13.8,72.9605541008531,78.4147318,13.08960446,29.5,18,26,28
"146",48291,"Liberty",7,21.9,10,63.2,12.79355065,38,7.3,15.8,85.1761128473689,74.8440748,22.32622048,27.6,19,25,40
"147",48293,"Limestone",10,21.3,17.6,53.6,17.78109029,47,5.7,19.1,69.9957766703269,75.4197531,19.05250491,33.9,20,25,51
"148",48295,"Lipscomb",5,29.9,0.4,100,14.90701001,49,3.2,9.7,91.3776501393699,73.2758621,99.9995537,27.2,13,26,37
"149",48297,"Live Oak",7,38.8,2.4,100,19.82894628,43,4.7,15.8,85.1930061660613,82.5153374,10.24399708,27.6,13,22,41
"150",48299,"Llano",6,9.8,0.7,45.2,35.46422382,46,3.6,14.8,86.2876932173325,76.5695196,31.04130138,27,17,21,50
"151",48301,"Loving",16,16.2,0,100,24.32432432,58,4.1,14.3,110.149505870428,51.6129032,99.9999994,29,19,21,33
"152",48303,"Lubbock",8,34.5,6.9,11.3,11.81880406,65,3.7,20.1,80.1756905144016,55.9455906,15.71388003,27.7,16,18,50
"153",48305,"Lynn",12,47.2,1.3,56.7,16.80207433,53,4.2,20.5,75.2884534166737,68.7005123,33.86923005,28.4,12,25,37
"154",48307,"McCulloch",9,31.6,2,35.3,21.31368938,48,5.2,18.6,67.8384998733001,76.296532,32.68550247,28.5,15,25,40
"155",48309,"McLennan",9,25.6,14.2,23.4,13.63462478,59,5.9,19.9,79.9155334065377,57.9766008,39.06464484,28.6,19,21,34
"156",48311,"McMullen",14,50.5,0,100,26.5,44,3.4,10,115.099248247318,73.7113402,98.00022159,32.2,8,17,41
"157",48313,"Madison",8,22.4,17.4,67.4,15.02968739,34,3.4,19.2,71.0499197567362,73.5265932,27.8946327,28.8,19,26,46
"158",48315,"Marion",14,3.9,23.7,100,24.52662722,50,7.3,23.4,62.3971619224597,79.1563832,7.825022827,31.3,24,20,51
"159",48317,"Martin",9,45.1,0.6,100,12.13268433,45,9.7,11.4,101.202804290903,77.1253823,21.42398762,27.1,9,24,36
"160",48319,"Mason",8,24.3,0,100,25.90975255,48,3.9,13.8,79.7584255426979,73.0579531,21.18437306,26.2,14,28,43
"161",48321,"Matagorda",14,41.4,10.2,36.4,15.69235794,44,4.5,20.5,79.0624208125686,67.7648251,37.78796161,31.9,17,24,42
"162",48323,"Maverick",14,95.3,0.2,9.3,11.18129143,51,2,23.9,56.6044429428161,68.0433723,32.24903264,29.4,9,36,33
"163",48325,"Medina",7,51.3,2.3,61.6,15.86471121,56,4,14.8,94.8948390911394,82.1433285,23.72044456,32.2,9,20,39
"164",48327,"Menard",8,37.3,0.6,100,27.22562412,36,6,20.8,57.4930315060394,66.7012448,20.18120536,27.3,13,29,38
"165",48329,"Midland",3,43.2,5.9,12.3,10.24874439,60,3.1,8.9,128.907846946533,66.7635571,27.42115688,30.9,11,20,45
"166",48331,"Milam",10,25.8,8.4,56.2,19.57596307,51,5.2,16.9,75.7749809950165,68.2844124,21.88516666,29.7,17,23,41
"167",48333,"Mills",10,18.3,0.2,100,27.50153468,61,3.7,16.6,71.7340991637807,84.7244954,24.67764631,26.1,15,27,33
"168",48335,"Mitchell",6,39.3,10.3,36.7,14.41759745,34,5.6,19.7,70.127544556128,75.9757484,29.78648983,26.6,13,24,45
"169",48337,"Montague",9,10.7,0.2,58.9,22.09625889,51,4.1,15.2,80.3953036574035,71.9045251,16.53229635,25.9,18,25,42
"170",48339,"Montgomery",6,23,4.5,22.7,12.32522464,65,4.5,10.1,130.330264380438,71.2197837,20.68463575,24.5,15,20,43
"171",48341,"Moore",10,54.1,3.2,16.8,9.815588663,44,3.2,14.4,86.9059886814765,63.8513011,28.76251995,29.9,11,32,48
"172",48343,"Morris",15,9.2,23.6,78.4,20.84596967,50,8.5,19.5,66.9431539825999,74.2834395,1.672160991,30,25,24,62
"173",48345,"Motley",10,16.3,3.5,100,28.81508079,65,3.5,17,62.1370048145958,71.641791,18.45374934,26.8,17,28,28
"174",48347,"Nacogdoches",14,18.9,17.2,46.5,13.19044197,57,4.7,24.5,71.5719233043331,55.8572928,29.12957958,32.2,22,26,29
"175",48349,"Navarro",11,26.2,13.1,52.7,16.42239682,50,4.3,19.6,70.8573359236422,68.6194159,24.73854787,28.4,18,27,52
"176",48351,"Newton",9,3.5,21.3,100,19.06675125,49,8.4,21.2,70.5059548948391,82.7651119,26.55629824,28,23,20,42
"177",48353,"Nolan",10,36.4,4.9,32.7,17.54503002,46,4.4,20,72.0702762057606,69.2543228,23.82197926,29,15,21,45
"178",48355,"Nueces",7,63,3.6,6.4,13.34815501,57,5.4,19.9,87.693217332545,57.7888667,32.58506206,33.6,11,23,68
"179",48357,"Ochiltree",7,53,0.2,13.9,10.05341473,47,3.7,8.8,99.6063856744657,72.1893491,9.530323213,28.7,10,31,46
"180",48359,"Oldham",8,15.5,5.6,100,13.77820451,64,2.6,13.4,93.675141481544,73.83821,100.0000003,29.3,16,17,35
"181",48361,"Orange",10,7.1,8.3,35.2,14.97574754,58,6.6,16.1,96.7260748374018,75.3253594,25.40711441,29.5,20,17,45
"182",48363,"Palo Pinto",13,19.7,2.4,50.2,18.71286776,44,4.1,18.6,77.4879635104316,70.2135811,37.81762715,29.4,18,26,54
"183",48365,"Panola",9,8.6,16.3,72.7,17.27326716,59,5.9,15.1,82.7282709688318,77.4468556,22.14541661,30.7,21,20,41
"184",48367,"Parker",5,11.5,1.3,56.1,14.82498829,65,3.6,9.4,125.138947546245,77.5158163,17.56199592,29,15,18,44
"185",48369,"Parmer",8,62.4,1.6,60,13.10910749,37,2.7,14.5,81.4072134470817,68.9323402,48.33651969,29.4,8,30,40
"186",48371,"Pecos",6,68.5,4.1,39.8,12.52214629,34,4.9,18.1,74.9252470647859,69.5701357,19.16877314,28.6,7,26,32
"187",48373,"Polk",12,14.8,10.4,77.6,18.76995785,42,6.1,17.2,75.3374440408818,76.6957804,20.17510249,29.4,19,26,51
"188",48375,"Potter",6,37.6,9.3,9,11.62253568,47,3.5,22.4,73.9555705718388,57.3171012,20.94449837,31,17,29,45
"189",48377,"Presidio",10,81.4,0,40.5,21.87456543,48,9.8,22.4,50.2762057606217,59.5983005,69.45389749,26.1,11,37,60
