GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
0500000US48319,48319,"Mason County, Texas",1622,149,1185,132,437,104
0500000US48321,48321,"Matagorda County, Texas",13811,496,9359,472,4452,426
0500000US48323,48323,"Maverick County, Texas",16416,297,11170,372,5246,398
0500000US48325,48325,"Medina County, Texas",15154,469,12448,498,2706,348
0500000US48327,48327,"Menard County, Texas",964,104,643,88,321,84
0500000US48329,48329,"Midland County, Texas",55045,619,36750,725,18295,807
0500000US48331,48331,"Milam County, Texas",9437,302,6444,354,2993,335
0500000US48333,48333,"Mills County, Texas",1833,145,1553,135,280,75
0500000US48335,48335,"Mitchell County, Texas",2639,216,2005,210,634,194
0500000US48337,48337,"Montague County, Texas",8044,278,5784,281,2260,292
0500000US48339,48339,"Montgomery County, Texas",186861,1312,133082,1834,53779,1726
0500000US48341,48341,"Moore County, Texas",6725,234,4294,356,2431,325
0500000US48343,48343,"Morris County, Texas",5024,142,3732,172,1292,164
0500000US48345,48345,"Motley County, Texas",469,44,336,38,133,38
0500000US48347,48347,"Nacogdoches County, Texas",23825,455,13308,481,10517,572
0500000US48349,48349,"Navarro County, Texas",17326,410,11889,410,5437,419
0500000US48351,48351,"Newton County, Texas",4781,288,3957,264,824,181
0500000US48353,48353,"Nolan County, Texas",5552,206,3845,226,1707,231
0500000US48355,48355,"Nueces County, Texas",128857,1018,74465,1136,54392,1353
0500000US48357,48357,"Ochiltree County, Texas",3549,135,2562,167,987,168
0500000US48359,48359,"Oldham County, Texas",581,171,429,136,152,54
0500000US48361,48361,"Orange County, Texas",32272,498,24309,663,7963,664
0500000US48363,48363,"Palo Pinto County, Texas",10441,308,7331,270,3110,267
0500000US48365,48365,"Panola County, Texas",9032,288,6995,338,2037,324
0500000US48367,48367,"Parker County, Texas",43942,556,34062,613,9880,587
0500000US48369,48369,"Parmer County, Texas",3222,132,2221,139,1001,130
0500000US48371,48371,"Pecos County, Texas",4420,215,3075,186,1345,189
0500000US48373,48373,"Polk County, Texas",17632,465,13523,454,4109,447
0500000US48375,48375,"Potter County, Texas",43453,486,24906,590,18547,694
0500000US48377,48377,"Presidio County, Texas",2589,180,1543,194,1046,229
0500000US48379,48379,"Rains County, Texas",4333,200,3346,191,987,159
0500000US48381,48381,"Randall County, Texas",49118,648,34303,598,14815,677
0500000US48383,48383,"Reagan County, Texas",1171,84,823,94,348,93
0500000US48385,48385,"Real County, Texas",1123,152,862,144,261,76
0500000US48387,48387,"Red River County, Texas",5218,239,3956,226,1262,199
0500000US48389,48389,"Reeves County, Texas",3731,176,2674,175,1057,181
0500000US48391,48391,"Refugio County, Texas",2694,124,1947,113,747,106
0500000US48393,48393,"Roberts County, Texas",326,34,242,41,84,28
0500000US48395,48395,"Robertson County, Texas",6298,279,4691,252,1607,238
0500000US48397,48397,"Rockwall County, Texas",30365,320,24414,501,5951,476
0500000US48399,48399,"Runnels County, Texas",3781,171,2714,171,1067,165
0500000US48401,48401,"Rusk County, Texas",17982,343,13677,319,4305,329
0500000US48403,48403,"Sabine County, Texas",3811,274,3353,277,458,148
0500000US48405,48405,"San Augustine County, Texas",3202,209,2537,189,665,157
0500000US48407,48407,"San Jacinto County, Texas",9414,453,7812,459,1602,311
0500000US48409,48409,"San Patricio County, Texas",23246,479,15546,506,7700,515
0500000US48411,48411,"San Saba County, Texas",2135,136,1438,123,697,109
0500000US48413,48413,"Schleicher County, Texas",1102,100,847,118,255,77
0500000US48415,48415,"Scurry County, Texas",5838,253,4327,215,1511,263
0500000US48417,48417,"Shackelford County, Texas",1257,106,992,88,265,75
0500000US48419,48419,"Shelby County, Texas",9218,297,6580,322,2638,311
0500000US48421,48421,"Sherman County, Texas",1063,64,860,73,203,53
