Id,Id2,Geography,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone
0500000US48399,48399,"Runnels County, Texas",33.8,1.3
0500000US48401,48401,"Rusk County, Texas",16.1,17
0500000US48403,48403,"Sabine County, Texas",4,7.6
0500000US48405,48405,"San Augustine County, Texas",6.9,20.8
0500000US48407,48407,"San Jacinto County, Texas",12.5,10.7
0500000US48409,48409,"San Patricio County, Texas",56.8,1.5
0500000US48411,48411,"San Saba County, Texas",29.7,2.8
0500000US48413,48413,"Schleicher County, Texas",51.8,0.3
0500000US48415,48415,"Scurry County, Texas",39.7,4.5
0500000US48417,48417,"Shackelford County, Texas",11.7,0.2
0500000US48419,48419,"Shelby County, Texas",17.8,18.8
0500000US48421,48421,"Sherman County, Texas",43.3,0.3
0500000US48423,48423,"Smith County, Texas",19,17.4
0500000US48425,48425,"Somervell County, Texas",19.1,0.6
0500000US48427,48427,"Starr County, Texas",99.2,0
0500000US48429,48429,"Stephens County, Texas",23.2,2.2
0500000US48431,48431,"Sterling County, Texas",40.8,0.3
0500000US48433,48433,"Stonewall County, Texas",22.7,3.5
0500000US48435,48435,"Sutton County, Texas",59.4,0.1
0500000US48437,48437,"Swisher County, Texas",43.1,5.7
0500000US48439,48439,"Tarrant County, Texas",28.2,15.6
0500000US48441,48441,"Taylor County, Texas",23.8,7.4
0500000US48443,48443,"Terrell County, Texas",56.3,3.2
0500000US48445,48445,"Terry County, Texas",53.8,4.6
0500000US48447,48447,"Throckmorton County, Texas",15.8,0.1
0500000US48449,48449,"Titus County, Texas",42.1,9.1
0500000US48451,48451,"Tom Green County, Texas",38.8,4
0500000US48453,48453,"Travis County, Texas",33.9,7.9
0500000US48455,48455,"Trinity County, Texas",9.3,9.5
0500000US48457,48457,"Tyler County, Texas",7.3,10.8
0500000US48459,48459,"Upshur County, Texas",8.1,8.9
0500000US48461,48461,"Upton County, Texas",49.7,6.7
0500000US48463,48463,"Uvalde County, Texas",70.9,0.1
0500000US48465,48465,"Val Verde County, Texas",81.4,1.1
0500000US48467,48467,"Van Zandt County, Texas",10.3,2.6
0500000US48469,48469,"Victoria County, Texas",46,5.8
0500000US48471,48471,"Walker County, Texas",17.8,22.9
0500000US48473,48473,"Waller County, Texas",29.4,24.9
0500000US48475,48475,"Ward County, Texas",52.2,4.8
0500000US48477,48477,"Washington County, Texas",15.5,17
0500000US48479,48479,"Webb County, Texas",95.5,0.3
0500000US48481,48481,"Wharton County, Texas",40.3,13.8
0500000US48483,48483,"Wheeler County, Texas",26.5,2.7
0500000US48485,48485,"Wichita County, Texas",18.5,9.9
0500000US48487,48487,"Wilbarger County, Texas",28.6,8
0500000US48489,48489,"Willacy County, Texas",88,0.7
0500000US48491,48491,"Williamson County, Texas",24.1,6
0500000US48493,48493,"Wilson County, Texas",39.2,1.3
0500000US48495,48495,"Winkler County, Texas",59.4,2.3
0500000US48497,48497,"Wise County, Texas",18.8,1.2
0500000US48499,48499,"Wood County, Texas",9.6,5.5
0500000US48501,48501,"Yoakum County, Texas",65,0
0500000US48503,48503,"Young County, Texas",18.1,1.5
0500000US48505,48505,"Zapata County, Texas",94.1,0
0500000US48507,48507,"Zavala County, Texas",93.6,0.5
