"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2017","48","48063","Camp County (TX)","12,746","2,588","2,079","3,097","2,079 to 3,097","20.3","16.3","24.3","16.3 to 24.3","3,372","1,055","811","1,299","811 to 1,299","31.3","24.1","38.5","24.1 to 38.5","2,398","745","562","928","562 to 928","31.1","23.5","38.7","23.5 to 38.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$41,932","$37,440","$46,424","$37,440 to $46,424"
"2017","48","48065","Carson County (TX)","6,016","510","392","628","392 to 628","8.5","6.5","10.5","6.5 to 10.5","1,458","165","124","206","124 to 206","11.3","8.5","14.1","8.5 to 14.1","1,102","115","85","145","85 to 145","10.4","7.6","13.2","7.6 to 13.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$60,668","$54,509","$66,827","$54,509 to $66,827"
"2017","48","48067","Cass County (TX)","29,563","5,614","4,555","6,673","4,555 to 6,673","19.0","15.4","22.6","15.4 to 22.6","6,660","1,967","1,572","2,362","1,572 to 2,362","29.5","23.6","35.4","23.6 to 35.4","4,850","1,501","1,219","1,783","1,219 to 1,783","30.9","25.1","36.7","25.1 to 36.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$40,104","$35,897","$44,311","$35,897 to $44,311"
"2017","48","48069","Castro County (TX)","7,752","1,337","1,022","1,652","1,022 to 1,652","17.2","13.1","21.3","13.1 to 21.3","2,255","566","420","712","420 to 712","25.1","18.6","31.6","18.6 to 31.6","1,654","388","279","497","279 to 497","23.5","16.9","30.1","16.9 to 30.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$41,746","$37,667","$45,825","$37,667 to $45,825"
"2017","48","48071","Chambers County (TX)","41,132","3,914","3,149","4,679","3,149 to 4,679","9.5","7.6","11.4","7.6 to 11.4","11,500","1,479","1,176","1,782","1,176 to 1,782","12.9","10.3","15.5","10.3 to 15.5","8,615","1,035","806","1,264","806 to 1,264","12.0","9.3","14.7","9.3 to 14.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$81,018","$72,186","$89,850","$72,186 to $89,850"
"2017","48","48073","Cherokee County (TX)","49,264","8,467","6,592","10,342","6,592 to 10,342","17.2","13.4","21.0","13.4 to 21.0","13,276","3,345","2,495","4,195","2,495 to 4,195","25.2","18.8","31.6","18.8 to 31.6","9,554","2,219","1,580","2,858","1,580 to 2,858","23.2","16.5","29.9","16.5 to 29.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$47,147","$44,337","$49,957","$44,337 to $49,957"
"2017","48","48075","Childress County (TX)","5,590","1,133","853","1,413","853 to 1,413","20.3","15.3","25.3","15.3 to 25.3","1,426","381","284","478","284 to 478","26.7","19.9","33.5","19.9 to 33.5","1,071","255","185","325","185 to 325","23.8","17.2","30.4","17.2 to 30.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$40,925","$36,422","$45,428","$36,422 to $45,428"
"2017","48","48077","Clay County (TX)","10,324","1,218","939","1,497","939 to 1,497","11.8","9.1","14.5","9.1 to 14.5","2,122","368","277","459","277 to 459","17.3","13.0","21.6","13.0 to 21.6","1,624","260","190","330","190 to 330","16.0","11.7","20.3","11.7 to 20.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$53,438","$47,809","$59,067","$47,809 to $59,067"
"2017","48","48079","Cochran County (TX)","2,799","695","554","836","554 to 836","24.8","19.7","29.9","19.7 to 29.9","737","282","219","345","219 to 345","38.3","29.8","46.8","29.8 to 46.8","531","202","155","249","155 to 249","38.0","29.1","46.9","29.1 to 46.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$40,796","$36,218","$45,374","$36,218 to $45,374"
"2017","48","48081","Coke County (TX)","3,258","432","330","534","330 to 534","13.3","10.2","16.4","10.2 to 16.4","692","147","108","186","108 to 186","21.2","15.6","26.8","15.6 to 26.8","510","103","74","132","74 to 132","20.2","14.5","25.9","14.5 to 25.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$42,314","$37,878","$46,750","$37,878 to $46,750"
